time,test,status,details
2026-09-24 00:56:47,clock,PASS,"SystemCoreClock=120000000 HXTAL=12MHz"
2026-09-24 00:57:26,clock,PASS,"SystemCoreClock=120000000 HXTAL=12MHz"
2026-09-24 00:57:26,inputs,INFO,"lcr1_12v=0 lcr2_12v=0 db9_12v=0 vbus=1"
2026-09-24 00:57:26,adc,INFO,"v12_mv=0 vcell_mv=14"
2026-09-24 00:57:26,rtc,INFO,"lxtal=0 rtcen=0 counter=0"
2026-09-24 00:57:36,flash_id,PASS,"id=C84019 sr1=00 sr2=00 sr3=20 sfdp=SFDP"
2026-09-24 00:57:36,flash_rd,INFO,"done"
2026-09-24 00:57:36,flash_rd,INFO,"done"
2026-09-24 00:58:26,flash_map,INFO,"used_sectors=98/8192"
2026-09-24 00:58:47,flash_rd,INFO,"done"
2026-09-24 00:58:49,flash_rd,INFO,"done"
2026-09-24 01:00:44,flash_rd,INFO,"done"
2026-09-24 01:01:38,rs232_1,FAIL,"rx_off=1 rx_on=1 loop=0/21"
2026-09-24 01:01:38,rs232_2,FAIL,"rx_off=1 rx_on=1 loop=0/21"
2026-09-24 01:01:39,rs485_1,FAIL,"rx_off=1 rx_on=1 tx_mode=1 cross=0/21"
2026-09-24 01:01:39,rs485_2,FAIL,"rx_off=1 rx_on=1 tx_mode=1 cross=0/21"
2026-09-24 01:02:35,rsdiag,INFO,"combo=0 pe5=0 pe6=0 rx1=1 rx2=1 pa3_mv=3300"
2026-09-24 01:02:35,rsdiag,INFO,"combo=1 pe5=1 pe6=0 rx1=1 rx2=1 pa3_mv=3300"
2026-09-24 01:02:35,rsdiag,INFO,"combo=2 pe5=0 pe6=1 rx1=1 rx2=1 pa3_mv=3300"
2026-09-24 01:02:35,rsdiag,INFO,"combo=3 pe5=1 pe6=1 rx1=1 rx2=1 pa3_mv=3300"
2026-09-24 01:02:45,rsdiag,INFO,"combo=0 pe5=0 pe6=0 rx1=1 rx2=1 pa3_mv=3300"
2026-09-24 01:02:45,rsdiag,INFO,"combo=1 pe5=1 pe6=0 rx1=1 rx2=1 pa3_mv=3300"
2026-09-24 01:03:36,gsm,PASS,"pe2_low=silent pe2_high=answered session=ok"
2026-09-24 01:03:52,bt,PASS,"boot=0 reset=7 version=15 bdaddr=13"
2026-09-24 01:04:45,gsm,PASS,"pe2_low=silent pe2_high=answered session=ok"
2026-09-24 01:17:09,bt,PASS,"boot=0 reset=7 version=15 bdaddr=13"
2026-09-24 01:18:04,bt_init,PASS,"sent=105 ok=105 err=0 noreply=0"
2026-09-24 01:20:49,bt_listen,INFO,"bytes=0"
2026-09-24 01:49:22,bt_init,PASS,"sent=105 ok=105 err=0 noreply=0"
2026-09-24 01:49:22,bt_up,INFO,"config_replies=6/7 (now scan for PandaBrain / PandaBrainBLE)"
2026-09-24 01:49:33,bt_raw,INFO,"reply_bytes=0"
2026-09-24 01:49:34,bt_raw,INFO,"reply_bytes=0"
2026-09-24 01:50:16,bt_init,PASS,"sent=105 ok=105 err=0 noreply=0"
2026-09-24 01:50:16,bt_up,PASS,"config_replies=7/7 (now scan for PandaBrain / PandaBrainBLE)"
2026-09-24 01:53:29,bt_listen,INFO,"bytes=0"
2026-09-24 01:53:43,clock,PASS,"SystemCoreClock=120000000 HXTAL=12MHz"
2026-09-24 01:53:45,flash_id,PASS,"id=C84019 sr1=00 sr2=00 sr3=20 sfdp=SFDP"
2026-09-24 01:53:46,adc,INFO,"v12_mv=0 vcell_mv=14"
2026-09-24 01:53:46,inputs,INFO,"lcr1_12v=0 lcr2_12v=0 db9_12v=0 vbus=1"
2026-09-24 01:53:48,rtc,INFO,"lxtal=0 rtcen=0 counter=0"
2026-09-24 01:53:48,rs232_1,FAIL,"rx_off=1 rx_on=1 loop=0/21"
2026-09-24 01:53:50,rs232_2,FAIL,"rx_off=1 rx_on=1 loop=0/21"
2026-09-24 01:53:50,rs485_1,FAIL,"rx_off=1 rx_on=1 tx_mode=1 cross=0/21"
2026-09-24 01:53:52,rs485_2,FAIL,"rx_off=1 rx_on=1 tx_mode=1 cross=0/21"
2026-09-24 01:54:24,gsm,PASS,"pe2_low=silent pe2_high=answered session=ok"
2026-09-24 01:54:26,bt,PASS,"boot=0 reset=7 version=15 bdaddr=13"
2026-09-24 01:54:36,bt_init,PASS,"sent=105 ok=105 err=0 noreply=0"
2026-09-24 01:54:36,bt_up,PASS,"config_replies=7/7 (now scan for PandaBrain / PandaBrainBLE)"
2026-09-24 01:55:37,rsloop_1,FAIL,"follow_modes=0x00 uart=0/21"
2026-09-24 01:55:38,rsloop_2,FAIL,"follow_modes=0x00 uart=0/21"
2026-09-24 01:57:37,rsack,FAIL,"rs232=0 rs485=1 dir1=0 dir2=0 levels=11/11/11/11/11"
2026-09-24 01:58:11,rsack,FAIL,"rs232=0 rs485=0 dir1=0 dir2=0 levels=11/11/11/11/11"
2026-09-24 01:58:35,bt_init,PASS,"sent=105 ok=105 err=0 noreply=0"
2026-09-24 01:58:35,bt_up,PASS,"config_replies=7/7 (now scan for PandaBrain / PandaBrainBLE)"
